id,Name,Level,Speed,Cornering,Power_Unit,Qualifying,Pit_Time,Total,Series,Cards,Total_Cards,Coins,Total_Coins
freni_0,Starter,1,1,1,1,1,1,4,0,0,0,0,0
freni_1,The Stabiliser,1,2,2,1,3,0.97,8,1,0,0,0,0
freni_1,The Stabiliser,2,3,3,2,4,0.94,12,1,4,4,"2,000","2,000"
freni_1,The Stabiliser,3,4,4,3,5,0.91,16,1,10,14,"8,000","10,000"
freni_1,The Stabiliser,4,5,5,3,6,0.88,19,1,20,34,"35,000","45,000"
freni_1,The Stabiliser,5,6,6,4,7,0.85,23,1,50,84,"90,000","135,000"
freni_1,The Stabiliser,6,7,7,5,8,0.83,27,1,100,184,"275,000","410,000"
freni_1,The Stabiliser,7,7,7,6,8,0.80,28,1,200,384,"800,000","1,210,000"
freni_1,The Stabiliser,8,8,8,7,9,0.77,32,1,400,784,"1,600,000","2,810,000"
freni_1,The Stabiliser,9,9,9,7,10,0.74,35,1,1000,1784,"2,400,000","5,210,000"
freni_1,The Stabiliser,10,10,10,8,11,0.71,39,1,2000,3784,"3,200,000","8,410,000"
freni_1,The Stabiliser,11,11,11,9,12,0.69,43,1,4000,7784,"4,000,000","12,410,000"
freni_2,The Corsair,1,3,5,2,1,0.86,11,2,0,0,0,0
freni_2,The Corsair,2,4,7,3,2,0.81,16,2,4,4,"6,000","6,000"
freni_2,The Corsair,3,4,8,3,2,0.77,17,2,10,14,"30,000","36,000"
freni_2,The Corsair,4,5,10,4,3,0.72,22,2,20,34,"95,000","131,000"
freni_2,The Corsair,5,5,11,4,3,0.68,23,2,50,84,"300,000","431,000"
freni_2,The Corsair,6,6,13,5,4,0.63,28,2,100,184,"950,000","1,381,000"
freni_2,The Corsair,7,6,14,5,4,0.59,29,2,200,384,"1,900,000","3,281,000"
freni_2,The Corsair,8,7,16,6,5,0.54,34,2,400,784,"3,750,000","7,031,000"
freni_2,The Corsair,9,7,17,6,5,0.50,35,2,1000,1784,"5,600,000","12,631,000"
freni_2,The Corsair,10,8,19,7,6,0.45,40,2,2000,3784,"7,450,000","20,081,000"
freni_2,The Corsair,11,8,20,7,6,0.41,41,2,4000,7784,"9,300,000","29,381,000"
freni_3,The Fury,1,15,5,6,7,0.83,33,3,0,0,0,0
freni_3,The Fury,2,18,6,7,8,0.80,39,3,4,4,"22,000","22,000"
freni_3,The Fury,3,20,7,8,9,0.77,44,3,10,14,"45,000","67,000"
freni_3,The Fury,4,23,8,9,10,0.74,50,3,20,34,"135,000","202,000"
freni_3,The Fury,5,25,8,10,11,0.71,54,3,50,84,"450,000","652,000"
